,YEAR,CATEGORY,HEI,COURSE TITLE,COURSE CODE,R1 POINTS,R2 POINTS,MID SEASON POINTS,FINAL SEASON POINTS,R1 Random *,R2 Random*,FINAL SEASON POINTS RANDOM*,Test/Interview #
1093,2020,Humanities (except languages),Trinity College Dublin,European Studies,TR024,544,542,566,530,,,,
1094,2020,Arts,Trinity College Dublin,Drama and Theatre Studies,TR025,564,530,581,530,,,,#
1095,2020,Humanities (except languages),Trinity College Dublin,Ancient and Medieval History and Culture,TR028,342,,453,342,,,,
1096,2020,Social and behavioural sciences,Trinity College Dublin,Political Science and Geography,TR029,526,520,533,510,,,,
1097,2020,Mathematics and statistics,Trinity College Dublin,Mathematics,TR031,531,,589,531,,,,
1098,2020,Engineering and engineering trades,Trinity College Dublin,Engineering,TR032,510,509,533,508,,*,,
1099,2020,Information and Communication Technologies (ICTs),Trinity College Dublin,Computer Science,TR033,509,,545,509,,,,
1100,2020,Business and administration,Trinity College Dublin,Management Science and Information Systems Studies,TR034,613,,625,613,*,,*,
1101,2020,Physical sciences,Trinity College Dublin,Theoretical Physics,TR035,543,,601,543,,,,
1102,2020,Engineering and engineering trades,Trinity College Dublin,Engineering with Management,TR038,532,,556,532,,,,
1103,2020,Information and Communication Technologies (ICTs),Trinity College Dublin,Computer Science and Language,TR039,454,424,488,424,,,,
1104,2020,Languages,Trinity College Dublin,Middle Eastern and European Languages and Cultures,TR040,466,,521,466,,,,
1105,2020,Humanities (except languages),Trinity College Dublin,Religion,TR041,368,,418,368,,,,
1106,2020,Arts,Trinity College Dublin,Film,TR042,489,476,498,466,,,,
1107,2020,Humanities (except languages),Trinity College Dublin,History of Art and Architecture,TR043,393,354,474,354,,,,
1108,2020,Health,Trinity College Dublin,Medicine (HPAT required),TR051,735,734,745,734,*,*,,#
1109,2020,Health,Trinity College Dublin,Dental Science,TR052,613,613,625,613,*,*,*,
1110,2020,Health,Trinity College Dublin,Physiotherapy,TR053,566,566,567,566,*,*,*,
1111,2020,Health,Trinity College Dublin,Occupational Therapy,TR054,533,,554,533,,,,
1112,2020,Health,Trinity College Dublin,Radiation Therapy,TR055,543,,554,543,,,,
1113,2020,Health,Trinity College Dublin,Human Health and Disease,TR056,565,,578,564,,,,
1114,2020,Biological and related sciences,Trinity College Dublin,Biological and Biomedical Sciences,TR060,543,543,566,543,*,,,
1115,2020,Physical sciences,Trinity College Dublin,Chemical Sciences,TR061,517,510,532,510,,,,
1116,2020,Physical sciences,Trinity College Dublin,Geography and Geoscience,TR062,473,,499,473,,,,
1117,2020,Physical sciences,Trinity College Dublin,Physical Sciences,TR063,498,498,531,477,*,,*,
1118,2020,Health,Trinity College Dublin,Pharmacy,TR072,590,,613,590,,,,
1119,2020,Business and administration,Trinity College Dublin,Global Business,TR080,589,,601,589,*,,*,
1120,2020,Social and behavioural sciences,Trinity College Dublin,"Business, Economic and Social Studies (BESS)",TR081,543,543,565,543,*,*,*,
1121,2020,Business and administration,Trinity College Dublin,Computer Science and Business,TR082,555,,578,555,,,,
1122,2020,Social and behavioural sciences,Trinity College Dublin,Sociology and Social Policy,TR083,498,487,513,478,,,,
1123,2020,Welfare,Trinity College Dublin,Social Studies (Social Work),TR084,462,,495,462,*,,*,
1124,2020,Business and administration,Trinity College Dublin,Business Studies and French,TR085,540,531,543,521,,,*,
1125,2020,Business and administration,Trinity College Dublin,Business Studies and German,TR086,509,499,518,499,,*,,
1126,2020,Business and administration,Trinity College Dublin,Business Studies and Russian,TR087,474,465,488,456,,,*,
1127,2020,Business and administration,Trinity College Dublin,Business Studies and Polish,TR089,444,424,468,424,,,,
1128,2020,Business and administration,Trinity College Dublin,Business Studies and Spanish,TR090,531,,542,531,*,,*,
1129,2020,Health,Trinity College Dublin,General Nursing (Meath and St James`s),TR091,429,,455,429,,,,
1130,2020,Health,Trinity College Dublin,General Nursing (Adelaide School of Nursing),TR093,430,429,441,414,,,,#
1131,2020,Health,Trinity College Dublin,Mental Health Nursing,TR095,408,,430,408,,,,
1132,2020,Health,Trinity College Dublin,Intellectual Disability Nursing,TR097,396,,398,378,,,,
1133,2020,Arts,Trinity College Dublin,Ancient History and Archaeology/Geography,TR111,352,,429,352,,,,
1134,2020,Arts,Trinity College Dublin,Ancient History and Archaeology/History,TR112,529,,,529,,,,
1135,2020,Arts,Trinity College Dublin,Ancient History and Archaeology/History of Art and Architecture,TR113,337,,477,337,,,,
1136,2020,Arts,Trinity College Dublin,Ancient History and Archaeology/Modern Language,TR114,337,,420,337,,,,
1137,2020,Arts,Trinity College Dublin,Ancient History and Archaeology/Religion,TR117,342,,368,342,,,,
1138,2020,Arts,Trinity College Dublin,Classical Civilisation/English Literature,TR166,498,496,523,496,*,,,
1139,2020,Arts,Trinity College Dublin,Classical Civilisation/History of Art and Architecture,TR173,335,,466,335,,,,
1140,2020,Arts,Trinity College Dublin,Classical Civilisation/Modern Language,TR177,335,,536,335,,,,
1141,2020,Arts,Trinity College Dublin,Classical Civilisation/Philosophy,TR179,499,,518,479,,,,
1142,2020,Arts,Trinity College Dublin,Economics/Geography,TR198,534,,552,534,,,,
1143,2020,Arts,Trinity College Dublin,Economics/History,TR202,534,,566,534,,,,
1144,2020,Arts,Trinity College Dublin,Economics/Mathematics,TR207,566,,601,566,*,,*,
1145,2020,Arts,Trinity College Dublin,Economics/Modern Language,TR208,534,,578,534,,,,
1146,2020,Arts,Trinity College Dublin,Economics/Philosophy,TR209,534,,576,534,,,,
1147,2020,Arts,Trinity College Dublin,Economics/Sociology,TR212,534,,541,534,,,,
1148,2020,Interdisciplinary programmes and qualifications involving arts and humanities,Trinity College Dublin,Classical Languages/English Literature,TR228,498,,533,498,*,,*,
1149,2020,Interdisciplinary programmes and qualifications involving arts and humanities,Trinity College Dublin,Classical Languages/History of Art and Architecture,TR231,349,,444,349,,,,
1150,2020,Interdisciplinary programmes and qualifications involving arts and humanities,Trinity College Dublin,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",TR233,349,,566,349,,,,
1151,2020,Arts,Trinity College Dublin,Classical Languages/Modern Language,TR239,349,,349,349,,,,
1152,2020,Arts,Trinity College Dublin,English Literature/History,TR262,529,,552,529,,,,
1153,2020,Arts,Trinity College Dublin,English Literature/History of Art and Architecture,TR263,498,497,533,497,*,,,
1154,2020,Arts,Trinity College Dublin,English Literature/Philosophy,TR269,499,,532,495,,,,
1155,2020,Arts,Trinity College Dublin,English Literature/Sociology,TR272,498,,519,498,*,,*,
1156,2020,Arts,Trinity College Dublin,English Literature/Drama Studies,TR276,#498,,530,#476,,,,#
1157,2020,Arts,Trinity College Dublin,English Literature/Modern Language,TR277,498,495,543,489,*,,*,
1158,2020,Arts,Trinity College Dublin,Film/Drama Studies,TR311,#521,,557,#521,*,,*,#
1159,2020,Arts,Trinity College Dublin,Film/English Literature,TR312,521,,541,521,*,,*,
1160,2020,Arts,Trinity College Dublin,Film/Music,TR320,521,,555,521,*,,*,#
1161,2020,Arts,Trinity College Dublin,Geography/History,TR322,529,,555,529,,,,
1162,2020,Arts,Trinity College Dublin,Drama Studies/Modern Language,TR323,#473,,551,#473,,,,#
1163,2020,Arts,Trinity College Dublin,Film/Modern Language,TR324,521,,544,521,*,,*,
1164,2020,Arts,Trinity College Dublin,Film/History,TR325,529,,625,529,,,,
1165,2020,Arts,Trinity College Dublin,Geography/Modern Language,TR326,352,,440,352,,,,
1166,2020,Arts,Trinity College Dublin,Geography/Sociology,TR332,498,496,520,496,*,,,
1167,2020,Arts,Trinity College Dublin,History/History of Art and Architecture,TR443,529,,532,529,,,,
1168,2020,Arts,Trinity College Dublin,History/Modern Language,TR447,529,,554,529,,,,
1169,2020,Arts,Trinity College Dublin,History/Philosophy,TR449,529,,543,529,,,,
1170,2020,Arts,Trinity College Dublin,History/Sociology,TR452,529,,534,529,,,,
1171,2020,Arts,Trinity College Dublin,History/Religion,TR454,529,,534,529,,,,
1172,2020,Arts,Trinity College Dublin,History of Art and Architecture/Modern Language,TR455,334,,454,334,,,,
1173,2020,Arts,Trinity College Dublin,History of Art and Architecture/Philosophy,TR479,499,,555,485,,,,
1174,2020,Arts,Trinity College Dublin,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",TR547,337,,473,337,,,,
1175,2020,Arts,Trinity College Dublin,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",TR548,335,,543,335,,,,
1176,2020,Arts,Trinity College Dublin,"Middle Eastern,Jewish and Islamic Civilisations/History",TR554,529,,555,529,,,,
1177,2020,Arts,Trinity College Dublin,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",TR563,335,,451,335,,,,
1178,2020,Arts,Trinity College Dublin,"Middle Eastern,Jewish and Islamic Civilisations/Music",TR564,,,,,,,,#
1179,2020,Arts,Trinity College Dublin,"Middle Eastern,Jewish and Islamic Civilisations/Religion",TR565,342,,,342,,,,
1180,2020,Arts,Trinity College Dublin,Mathematics/Modern Language,TR597,566,,625,566,*,,*,
1181,2020,Arts,Trinity College Dublin,Mathematics/Music,TR598,566,,,566,*,,*,#
1182,2020,Arts,Trinity College Dublin,Mathematics/Philosophy,TR599,566,,589,566,*,,*,
1183,2020,Arts,Trinity College Dublin,Music/Philosophy,TR629,499,,,499,,,,#
1184,2020,Arts,Trinity College Dublin,Music/Drama Studies,TR635,#473,,487,#473,,,,#
1185,2020,Arts,Trinity College Dublin,Music/Modern Language,TR636,388,,455,388,,,,#
1186,2020,Arts,Trinity College Dublin,Music/Religion,TR638,388,,440,388,,,,#
1187,2020,Arts,Trinity College Dublin,Philosophy/Modern Language,TR639,499,,613,499,,,,
1188,2020,Arts,Trinity College Dublin,Philosophy/Sociology,TR662,499,,531,499,,,,
1189,2020,Arts,Trinity College Dublin,Religion/Classical Civilisation,TR663,342,,591,342,,,,
1190,2020,Arts,Trinity College Dublin,Religion/English Literature,TR664,498,,565,498,*,,*,
1191,2020,Arts,Trinity College Dublin,Religion/History of Art and Architecture,TR665,342,,452,342,,,,
1192,2020,Arts,Trinity College Dublin,Religion/Modern Language,TR666,,,,,,,,
1193,2020,Arts,Trinity College Dublin,French/Modern Language,TR667,403,,478,403,,,,
1194,2020,Arts,Trinity College Dublin,German/Modern Language,TR668,389,,465,389,,,,
1195,2020,Arts,Trinity College Dublin,Irish/Modern Language,TR669,368,,473,368,,,,
1196,2020,Arts,Trinity College Dublin,Italian/Modern Language,TR670,381,,466,381,,,,
1197,2020,Arts,Trinity College Dublin,Russian/Modern Language,TR671,332,,494,332,,,,
1198,2020,Arts,Trinity College Dublin,Spanish/Modern Language,TR672,336,,488,336,,,,
1199,2020,Arts,Trinity College Dublin,Sociology/Drama Studies,TR755,#498,,543,#498,,,,#
1200,2020,Arts,Trinity College Dublin,Sociology/Modern Language,TR756,498,495,510,495,,,,
1204,2020,Health,Trinity College Dublin,Children`s and General Nursing (Integrated),TR911,511,510,521,499,,,*,
1205,2020,Health,Trinity College Dublin,Midwifery,TR913,478,477,508,473,,*,*,
1286,2020,Engineering and engineering trades,Technological University Dublin,Biomedical Design,TU801,235,,381,235,,,,
1287,2020,Engineering and engineering trades,Technological University Dublin,Electrical Services and Energy Management,TU802,317,300,352,300,,,,
1288,2020,Engineering and engineering trades,Technological University Dublin,Electronic Engineering,TU803,243,243,337,243,,,,
1289,2020,Engineering and engineering trades,Technological University Dublin,Engineering (Common Entry with Award options),TU804,271,,338,271,,,,
1290,2020,Engineering and engineering trades,Technological University Dublin,Engineering (General Entry),TU805,402,,466,402,,,,
1291,2020,Engineering and engineering trades,Technological University Dublin,Sustainable Energy Engineering,TU806,262,,318,262,,,,
1292,2020,Engineering and engineering trades,Technological University Dublin,Computer Engineering in Mobile Systems,TU807,276,,305,276,,,,
1293,2020,Engineering and engineering trades,Technological University Dublin,Engineering Software,TU808,260,260,339,260,,,,
1294,2020,Engineering and engineering trades,Technological University Dublin,Mechanical Engineering,TU809,235,,347,235,,,,
1295,2020,Engineering and engineering trades,Technological University Dublin,Mechatronic Engineering,TU810,270,,312,271,,,,
1296,2020,Arts,Technological University Dublin,Product Design,TU811,411,,444,411,,,,
1297,2020,Manufacturing and processing,Technological University Dublin,"Design,Technology and Innovation",TU812,270,,350,270,,,,
1298,2020,Engineering and engineering trades,Technological University Dublin,Automation Engineering,TU813,218,218,339,218,,,,
1299,2020,Transport services,Technological University Dublin,Transport Operations and Technology,TU814,285,251,372,251,,,,
1300,2020,Architecture and construction,Technological University Dublin,Architectural Technology,TU831,410,,444,410,,,,
1301,2020,Architecture and construction,Technological University Dublin,Architecture (Suitability Test and Interview),TU832,622,,658,622,,,,#
1302,2020,Architecture and construction,Technological University Dublin,Construction Management,TU833,367,,404,367,,,,
1303,2020,Architecture and construction,Technological University Dublin,Geographic Science,TU834,288,,357,288,,,,
1304,2020,Architecture and construction,Technological University Dublin,Planning and Environmental Management,TU835,313,,349,313,,,,
1305,2020,Architecture and construction,Technological University Dublin,Property Economics (Valuation Surveying),TU836,401,,433,401,,,,
1306,2020,Architecture and construction,Technological University Dublin,Quantity Surveying and Construction Economics,TU837,385,,418,385,,,,
1307,2020,Environment,Technological University Dublin,Analytical Chemistry (Environmental Forensic and Pharmaceutical),TU851,349,,419,349,,,,
1308,2020,Physical sciences,Technological University Dublin,Chemical Sciences with Medicinal Chemistry,TU852,476,,498,476,,,,
1309,2020,Biological and related sciences,Technological University Dublin,Science (General Entry),TU854,476,,495,476,,,,
1310,2020,Physical sciences,Technological University Dublin,Science with Nanotechnology,TU855,331,319,368,319,,,,
1311,2020,Information and Communication Technologies (ICTs),Technological University Dublin,Computer Science,TU856,476,,487,476,,,,
1312,2020,Information and Communication Technologies (ICTs),Technological University Dublin,Computer Science (Infrastructure),TU857,391,,419,391,,,,
1313,2020,Information and Communication Technologies (ICTs),Technological University Dublin,Computer Science (International),TU858,377,,424,377,,,,
1314,2020,Information and Communication Technologies (ICTs),Technological University Dublin,Computing,TU859,217,234,308,217,,,,
1315,2020,Information and Communication Technologies (ICTs),Technological University Dublin,Computing (Information Technology),TU860,260,,329,260,,,,
1316,2020,Information and Communication Technologies (ICTs),Technological University Dublin,Computing with Language (French/German/Spanish),TU861,308,308,348,308,,,,
1317,2020,Information and Communication Technologies (ICTs),Technological University Dublin,Computing with Data Analytics,TU862,226,226,288,226,,,,
1318,2020,Information and Communication Technologies (ICTs),Technological University Dublin,Digital Forensics and Cyber Security,TU863,280,,338,280,,,,
1319,2020,Biological and related sciences,Technological University Dublin,DNA and Forensic Analysis,TU864,400,390,429,390,,,,
1320,2020,Information and Communication Technologies (ICTs),Technological University Dublin,Computing with IT Management,TU865,226,,331,226,,,,
1321,2020,Health,Technological University Dublin,Biomedical and Molecular Diagnostics,TU866,487,,498,487,,,,
1322,2020,Health,Technological University Dublin,Biomedical Science,TU867,524,,542,524,,,,
1323,2020,Health,Technological University Dublin,Clinical Measurement Science,TU868,510,,520,510,,,,
1324,2020,Hygiene and occupational health services,Technological University Dublin,Environmental Health,TU869,336,,375,336,,,,
1325,2020,Health,Technological University Dublin,Human Nutrition and Dietetics,TU870,578,,589,578,,,,
1326,2020,Health,Technological University Dublin,Optometry,TU871,509,,530,509,,,,
1327,2020,Biological and related sciences,Technological University Dublin,Public Health Nutrition,TU872,491,,512,491,,,,
1328,2020,Mathematics and statistics,Technological University Dublin,Industrial Mathematics,TU873,250,250,392,250,,,,
1329,2020,Mathematics and statistics,Technological University Dublin,Mathematical Sciences,TU874,341,,407,343,,,,
1330,2020,Biological and related sciences,Technological University Dublin,Pharmaceutical Healthcare,TU875,400,,440,400,,,,
1331,2020,Biological and related sciences,Technological University Dublin,Pharmaceutical Science,TU876,377,349,391,349,,,,
1332,2020,Physical sciences,Technological University Dublin,Physics Technology,TU877,308,,373,308,,,,
1333,2020,Physical sciences,Technological University Dublin,Physics with Energy and Environment,TU878,337,337,444,331,,,,
1334,2020,Health,Technological University Dublin,Physics with Medical Physics and Bioengineering,TU879,351,,403,351,,,,
1335,2020,Physical sciences,Technological University Dublin,Physics with Data Science,TU880,578,,,,,,,
1336,2020,Manufacturing and processing,Technological University Dublin,Food Innovation,TU881,318,,389,318,,,,
1337,2020,Biological and related sciences,Technological University Dublin,Nutraceuticals in Health and Nutrition,TU882,397,,442,397,,,,
1338,2020,Business and administration,Technological University Dublin,Business,TU901,270,,307,270,,,,
1339,2020,Business and administration,Technological University Dublin,Business (Common Entry with Award options),TU902,271,,359,271,,,,
1340,2020,Business and administration,Technological University Dublin,Business and Management,TU903,463,,485,463,,,,
1341,2020,Business and administration,Technological University Dublin,Business and Law,TU904,462,,487,462,,,,
1342,2020,Social and behavioural sciences,Technological University Dublin,Economics and Finance,TU905,465,,488,465,,,,
1343,2020,Business and administration,Technological University Dublin,Human Resource Management,TU906,395,,414,395,,,,
1344,2020,Business and administration,Technological University Dublin,Logistics and Supply Chain Management,TU907,300,,387,300,,,,
1345,2020,Business and administration,Technological University Dublin,Management,TU908,262,253,337,253,,,,
1346,2020,Business and administration,Technological University Dublin,Accounting and Finance,TU909,285,,326,285,,,,
1347,2020,Business and administration,Technological University Dublin,Accounting and Finance,TU910,444,,466,444,,,,
1348,2020,Business and administration,Technological University Dublin,Accounting and Finance,TU911,209,192,319,192,,,,
1349,2020,Information and Communication Technologies (ICTs),Technological University Dublin,Business Analytics,TU912,330,,366,330,,,,
1350,2020,Business and administration,Technological University Dublin,Business and Information Technology,TU913,252,,299,252,,,,
1351,2020,Information and Communication Technologies (ICTs),Technological University Dublin,Business Computing,TU914,324,,366,324,,,,
1352,2020,Business and administration,Technological University Dublin,International Business,TU915,252,,302,252,,,,
1353,2020,Business and administration,Technological University Dublin,International Business,TU916,235,235,337,235,,,,
1354,2020,Law,Technological University Dublin,Law (LLB ) with a Language,TU917,342,,433,342,,,,
1355,2020,Law,Technological University Dublin,Law (LLB),TU918,451,,478,451,,,,
1356,2020,Business and administration,Technological University Dublin,Advertising and Marketing Communications,TU919,228,226,311,226,,,,
1357,2020,Business and administration,Technological University Dublin,Digital Marketing,TU920,270,,318,270,,,,
1358,2020,Business and administration,Technological University Dublin,Digital Marketing Technologies,TU921,212,212,300,234,,,,
1359,2020,Business and administration,Technological University Dublin,Marketing,TU922,418,,443,418,,,,
1360,2020,Business and administration,Technological University Dublin,Marketing Management,TU923,228,276,318,228,,,,
1361,2020,Business and administration,Technological University Dublin,E-Commerce in Retailing,TU924,307,,380,307,,,,
1362,2020,Business and administration,Technological University Dublin,Retail and Services Management,TU925,301,,362,301,,,,
1363,2020,Personal services,Technological University Dublin,Sports Management and Coaching,TU935,300,,347,300,,,,
1364,2020,Biological and related sciences,Technological University Dublin,Sports Science and Health,TU936,410,391,419,391,,,,
1365,2020,Personal services,Technological University Dublin,Botanical Cuisine,TU941,249,,257,249,,,,
1366,2020,Personal services,Technological University Dublin,Culinary Arts,TU942,212,212,340,212,,,,
1367,2020,Personal services,Technological University Dublin,Culinary Entrepreneurship,TU943,278,,357,279,,,,
1368,2020,Personal services,Technological University Dublin,Culinary Science,TU944,316,,379,316,,,,
1369,2020,Personal services,Technological University Dublin,International Hospitality and Tourism Management,TU951,184,184,298,200,,,,
1370,2020,Personal services,Technological University Dublin,International Hospitality Management,TU952,300,,368,306,,,,
1371,2020,Personal services,Technological University Dublin,Tourism and Digital Marketing,TU953,290,,359,290,,,,
1372,2020,Personal services,Technological University Dublin,Event Management,TU954,356,,404,356,,,,
1373,2020,Personal services,Technological University Dublin,Sports & Leisure Management,TU955,217,317,347,217,,,,
1374,2020,Arts,Technological University Dublin,Commercial Modern Music,TU961,608,608,848,608,,,,#
1375,2020,Arts,Technological University Dublin,Drama (Performance),TU962,379,,500,379,,,,#
1376,2020,Arts,Technological University Dublin,Music,TU963,416,,535,416,,,,#
1377,2020,Business and administration,Technological University Dublin,International Business and Languages,TU965,356,346,413,346,,,,
1378,2020,Languages,Technological University Dublin,Languages and English Studies,TU966,366,,466,434,,,,
1379,2020,Arts,Technological University Dublin,Languages and International Tourism,TU967,308,,388,326,,,,
1380,2020,Arts,Technological University Dublin,Contemporary Visual Culture,TU971,290,,320,290,,,,
1381,2020,Arts,Technological University Dublin,Creative and Cultural Industries,TU972,281,,369,281,,,,
1382,2020,Arts,Technological University Dublin,Design - Visual Communication,TU973,717,,865,717,,,,#
1383,2020,Arts,Technological University Dublin,Fine Art,TU974,709,563,826,563,,,,#
1384,2020,Arts,Technological University Dublin,Interior Design,TU975,632,,879,632,,,,#
1385,2020,Arts,Technological University Dublin,Photography,TU976,695,,926,695,,,,#
1386,2020,Arts,Technological University Dublin,Creative Digital Media,TU981,280,,318,282,,,,
1387,2020,Arts,Technological University Dublin,Creative Digital Media,TU982,320,311,352,311,,,,
1388,2020,Arts,Technological University Dublin,Film and Broadcasting,TU983,456,451,484,451,,,,
1389,2020,Information and Communication Technologies (ICTs),Technological University Dublin,Game Design,TU984,381,,419,381,,,,
1390,2020,Journalism and information,Technological University Dublin,Journalism,TU985,322,,377,322,,,,
1391,2020,Business and administration,Technological University Dublin,Print Media Technology and Management,TU986,289,,300,289,,,,
1392,2020,Welfare,Technological University Dublin,Applied Social Studies in Social Care,TU991,325,,352,325,,,,
1393,2020,Social and behavioural sciences,Technological University Dublin,Community and Youth Development,TU992,251,,297,253,,,,
1394,2020,Welfare,Technological University Dublin,Early Childhood Care and Education,TU993,270,,311,270,,,,
1395,2020,Welfare,Technological University Dublin,Early Childhood Care and Education,TU994,321,251,304,230,,,,
1396,2020,Education,Technological University Dublin,Early Childhood Education,TU995,367,,409,367,,,,
1397,2020,Social and behavioural sciences,Technological University Dublin,Social Care,TU996,400,,419,400,,,,
1398,2020,Welfare,Technological University Dublin,Applied Social Care,TU997,310,283,318,270,,,,
1399,2020,Information and Communication Technologies (ICTs),Waterford Institute of Technology,Applied Computing (options),WD001,260,260,413,260,,,,
1400,2020,Physical sciences,Waterford Institute of Technology,Science (options),WD002,308,,388,308,,,,
1402,2020,Health,Waterford Institute of Technology,Health Sciences (options),WD005,280,,338,280,,,,
1403,2020,Personal services,Waterford Institute of Technology,Exercise Sciences (options),WD006,280,,359,280,,,,
1404,2020,Engineering and engineering trades,Waterford Institute of Technology,Engineering (options),WD007,288,288,409,288,,,,
1410,2020,Architecture and construction,Waterford Institute of Technology,Construction Management and Engineering,WD025,269,,341,269,,,,
1411,2020,Arts,Waterford Institute of Technology,Music,WD027,262,,409,262,,,,#
1412,2020,Business and administration,Waterford Institute of Technology,Business (options),WD048,271,,371,271,,,,
1414,2020,Business and administration,Waterford Institute of Technology,Accounting,WD084,308,,411,308,,,,
1415,2020,Personal services,Waterford Institute of Technology,Hospitality Management,WD091,228,,310,228,,,,
1419,2020,Health,Waterford Institute of Technology,General Nursing,WD116,422,,451,422,,,,
1420,2020,Health,Waterford Institute of Technology,Psychiatric Nursing,WD117,366,,388,366,,,,
1421,2020,Health,Waterford Institute of Technology,Intellectual Disability Nursing,WD120,377,,388,377,,,,
1423,2020,Business and administration,Waterford Institute of Technology,International Business,WD134,290,,362,290,,,,
1424,2020,Arts,Waterford Institute of Technology,Design (Visual Communications),WD137,271,,351,271,,,,
1426,2020,Law,Waterford Institute of Technology,Laws,WD140,280,,367,280,,,,
1427,2020,Architecture and construction,Waterford Institute of Technology,Architecture,WD144,284,,359,284,,,,
1428,2020,Physical sciences,Waterford Institute of Technology,Pharmaceutical Science,WD147,293,,390,293,,,,
1429,2020,Welfare,Waterford Institute of Technology,Early Childhood Studies,WD149,271,,368,271,,,,
1430,2020,Law,Waterford Institute of Technology,Criminal Justice Studies,WD150,270,,331,270,,,,
1432,2020,Arts,Waterford Institute of Technology,Visual Art,WD152,AQA,,317,AQA,,,,
1436,2020,Information and Communication Technologies (ICTs),Waterford Institute of Technology,Computer Forensics and Security,WD161,255,,380,255,,,,
1437,2020,Architecture and construction,Waterford Institute of Technology,Quantity Surveying,WD162,216,,306,216,,,,
1438,2020,Social and behavioural sciences,Waterford Institute of Technology,Psychology,WD163,434,,473,434,,,,
1447,2020,Personal services,Waterford Institute of Technology,Sports Coaching and Performance,WD186,270,,344,270,,,,
1448,2020,Welfare,Waterford Institute of Technology,Social Science,WD187,272,,348,272,,,,
1450,2020,Agriculture,Waterford Institute of Technology,Agricultural Science,WD191,377,,420,377,,,,
1451,2020,Welfare,Waterford Institute of Technology,Social Care Practice,WD192,270,,326,270,,,,
1452,2020,Business and administration,Waterford Institute of Technology,Marketing and Digital Media,WD193,271,,347,271,,,,
1453,2020,Personal services,Waterford Institute of Technology,Culinary Arts,WD194,217,,321,217,,,,
1454,2020,Architecture and construction,Waterford Institute of Technology,Architectural and Building Information Modelling Technology,WD195,279,,367,279,,,,
1455,2020,Arts,Waterford Institute of Technology,Arts (options),WD200,AQA,AQA,336,AQA,,,,
1460,2020,Information and Communication Technologies (ICTs),Waterford Institute of Technology,Software Systems Development,WD210,279,,337,279,,,,
1461,2020,Information and Communication Technologies (ICTs),Waterford Institute of Technology,Creative Computing,WD211,271,,318,271,,,,
1462,2020,Personal services,Waterford Institute of Technology,Recreation and Sport Management,WD212,270,,349,270,,,,
1463,2020,Engineering and engineering trades,Waterford Institute of Technology,Mechanical and Manufacturing Engineering,WD230,253,,369,253,,,,
